regla,tipo,n_anios,accuracy_promedio,accuracy_std,accuracy_min,accuracy_max,accuracy_n_validos,balanced_accuracy_promedio,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n_validos,precision_macro_promedio,precision_macro_std,precision_macro_min,precision_macro_max,precision_macro_n_validos,recall_macro_promedio,recall_macro_std,recall_macro_min,recall_macro_max,recall_macro_n_validos,f1_macro_promedio,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_n_validos,specificity_macro_promedio,specificity_macro_std,specificity_macro_min,specificity_macro_max,specificity_macro_n_validos,roc_auc_ovr_macro_promedio,roc_auc_ovr_macro_std,roc_auc_ovr_macro_min,roc_auc_ovr_macro_max,roc_auc_ovr_macro_n_validos,recall_alto_promedio,recall_alto_std,recall_alto_min,recall_alto_max,recall_alto_n_validos,precision_alto_promedio,precision_alto_std,precision_alto_min,precision_alto_max,precision_alto_n_validos,f1_alto_promedio,f1_alto_std,f1_alto_min,f1_alto_max,f1_alto_n_validos,casos_alto_reales_promedio,casos_alto_reales_std,casos_alto_reales_min,casos_alto_reales_max,casos_alto_reales_n_validos,falsos_negativos_alto_promedio,falsos_negativos_alto_std,falsos_negativos_alto_min,falsos_negativos_alto_max,falsos_negativos_alto_n_validos,tasa_falsos_negativos_alto_promedio,tasa_falsos_negativos_alto_std,tasa_falsos_negativos_alto_min,tasa_falsos_negativos_alto_max,tasa_falsos_negativos_alto_n_validos,errores_alto_bajo_promedio,errores_alto_bajo_std,errores_alto_bajo_min,errores_alto_bajo_max,errores_alto_bajo_n_validos,proporcion_alto_bajo_promedio,proporcion_alto_bajo_std,proporcion_alto_bajo_min,proporcion_alto_bajo_max,proporcion_alto_bajo_n_validos,proporcion_alto_bajo_total_promedio,proporcion_alto_bajo_total_std,proporcion_alto_bajo_total_min,proporcion_alto_bajo_total_max,proporcion_alto_bajo_total_n_validos,predichos_bajo_total,proporcion_predicha_bajo_promedio,predichos_medio_total,proporcion_predicha_medio_promedio,predichos_alto_total,proporcion_predicha_alto_promedio,riesgo_expansion_alto_algun_anio,delta_proporcion_alto_bajo_promedio,delta_tasa_falsos_negativos_alto_promedio,delta_recall_alto_promedio,delta_f1_macro_promedio,delta_balanced_accuracy_promedio,admisible,veto_mejora_minima_caida_global,mejora_seguridad,elegible_seleccion,delta_proporcion_predicha_alto_promedio,riesgo_expansion_alto_promedio,motivo_no_seleccionable,ranking,seleccionada,reduce_ambos_errores
proteccion_0.20,regla_decision,5,0.7316869202275987,0.004859342975292416,0.727768933363657,0.7394894894894894,5,0.7105317135061304,0.006650376690873199,0.7042044724119169,0.7234181995439982,5,0.7091087478820447,0.00927823123232273,0.7005168456070071,0.7269279464756595,5,0.7105317135061304,0.006650376690873199,0.7042044724119169,0.7234181995439982,5,0.7051136169791251,0.006551195501862001,0.6975580528919766,0.7172459718656046,5,0.8702376273203114,0.0028211882607156913,0.8666705980559949,0.873605464596979,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7644913896553163,0.01510128907348006,0.7422419252691577,0.7836285303973193,5,0.8553342431684344,0.018464933873949232,0.8311990686845169,0.8837209302325582,5,0.8073203475494404,0.015498086087813107,0.7878991596638656,0.8240963855421687,5,1994.4,235.59762307799286,1579,2215,5,466.6,35.34176000144871,407,505,5,0.23550861034468368,0.015101289073480033,0.21637146960268072,0.2577580747308423,5,78.8,17.267310155319503,52,101,5,0.041107854102374206,0.01402186016908389,0.02347629796839729,0.06396453451551615,5,0.018200013558136597,0.004724298517356626,0.011289622231871473,0.025275275275275275,5,6752,0.3109188552643144,6219,0.28293815746868456,8915,0.40614298726700093,False,-0.010271388357064787,0.0,0.0,0.00014158151115750695,0.0006097822614847814,True,False,True,True,0.0,False,,3,False,False
argmax,regla_decision,5,0.7334416933779073,0.005031865987690604,0.7292637465051258,0.741991991991992,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7067988475287211,0.00932332923712862,0.6976412845954297,0.7247138169281161,5,0.7099219312446456,0.007490495678263769,0.7023918164208559,0.7239155787382439,5,0.7049720354679676,0.0068924448065748375,0.696872793412408,0.7176027933890513,5,0.870185608674096,0.002494617713801196,0.8670681607723981,0.8738180741026055,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7644913896553163,0.01510128907348006,0.7422419252691577,0.7836285303973193,5,0.8553342431684344,0.018464933873949232,0.8311990686845169,0.8837209302325582,5,0.8073203475494404,0.015498086087813107,0.7878991596638656,0.8240963855421687,5,1994.4,235.59762307799286,1579,2215,5,466.6,35.34176000144871,407,505,5,0.23550861034468368,0.015101289073480033,0.21637146960268072,0.2577580747308423,5,97.8,25.576551761330144,59,137,5,0.05137924245943899,0.020278218564410595,0.026636568848758466,0.08676377454084863,5,0.022666943988910383,0.007025661025106261,0.012809379070777248,0.03428428428428428,5,7057,0.32508136350055095,5914,0.2687756492324481,8915,0.40614298726700093,False,0.0,0.0,0.0,0.0,0.0,True,False,False,True,0.0,False,,6,False,False
combinada_0.40_0.20,regla_decision,5,0.7355005331634581,0.005930817646163782,0.7271668219944082,0.7435953104646114,5,0.7075138826746026,0.007971855331270884,0.7007991104347684,0.7230915730360961,5,0.7070408565065277,0.010028715423741605,0.701096449113214,0.7269969219097678,5,0.7075138826746026,0.007971855331270884,0.7007991104347684,0.7230915730360961,5,0.7046693237550968,0.007866271508335437,0.6997592645687775,0.7202992070902748,5,0.8702099599194184,0.003969425885238972,0.864036087931698,0.8752532755542445,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7884114267208584,0.020537299271203895,0.7530082330588981,0.8058690744920993,5,0.8421531574238834,0.01665737845858145,0.8232013385387619,0.8707317073170732,5,0.8143350981650308,0.017592763492950553,0.7887230514096186,0.8370457209847596,5,1994.4,235.59762307799286,1579,2215,5,417.2,14.74313399518569,390,430,5,0.21158857327914155,0.02053729927120393,0.19413092550790068,0.24699176694110198,5,78.8,17.267310155319503,52,101,5,0.041107854102374206,0.01402186016908389,0.02347629796839729,0.06396453451551615,5,0.018200013558136597,0.004724298517356626,0.011289622231871473,0.025275275275275275,5,6752,0.3109188552643144,5786,0.263434377015774,9348,0.4256467677199116,False,-0.010271388357064787,-0.023920037065542132,0.023920037065542132,-0.0003027117128707735,-0.0024080485700430643,True,False,True,True,0.01950378045291068,False,,2,False,True
alto_0.40,regla_decision,5,0.7372553063137668,0.005984434894391563,0.72856477166822,0.7446808510638298,5,0.7069041004131178,0.008376449392698005,0.701680542484069,0.7235889522303417,5,0.7050938506410998,0.010046034997538771,0.6986232002547593,0.7250031285905673,5,0.7069041004131178,0.008376449392698005,0.701680542484069,0.7235889522303417,5,0.7044306196710587,0.008162465738387671,0.698983763311731,0.7206136407546201,5,0.8701632140067097,0.003721555247217404,0.8644336506481013,0.8755779499097693,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.7884114267208584,0.020537299271203895,0.7530082330588981,0.8058690744920993,5,0.8421531574238834,0.01665737845858145,0.8232013385387619,0.8707317073170732,5,0.8143350981650308,0.017592763492950553,0.7887230514096186,0.8370457209847596,5,1994.4,235.59762307799286,1579,2215,5,417.2,14.74313399518569,390,430,5,0.21158857327914155,0.02053729927120393,0.19413092550790068,0.24699176694110198,5,97.6,25.48411269791436,59,137,5,0.051273923870708074,0.02024528807235947,0.026636568848758466,0.08676377454084863,5,0.022621458430575152,0.007011019624217941,0.012809379070777248,0.03428428428428428,5,7056,0.3250358779422157,5482,0.2493173543378727,9348,0.4256467677199116,False,-0.00010531858873091826,-0.023920037065542132,0.023920037065542132,-0.0005414157969089173,-0.0030178308315278457,True,False,True,True,0.01950378045291068,False,,5,False,True
combinada_0.35_0.20,regla_decision,5,0.7394662164610835,0.006864542133802021,0.7294967381174278,0.7498914459400782,5,0.7032166900871439,0.009158878086391074,0.6951484958544585,0.7209203924052606,5,0.7049688560847286,0.01094697929439502,0.6970429025511703,0.7266112986539842,5,0.7032166900871439,0.009158878086391074,0.6951484958544585,0.7209203924052606,5,0.7030934082141221,0.00917573772532568,0.6965101781897579,0.7212303171283786,5,0.8697389310242942,0.004730692791528011,0.8623774180932733,0.8758945142223248,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.8164910148604877,0.02043759246946301,0.7815072830905636,0.837020316027088,5,0.8252391562582323,0.017602409150040903,0.8073878627968337,0.85635103926097,5,0.8207937510910537,0.018064243909873167,0.7951030927835052,0.8465753424657535,5,1994.4,235.59762307799286,1579,2215,5,361.2,8.953211714239757,345,370,5,0.18350898513951244,0.020437592469463008,0.16297968397291196,0.21849271690943636,5,78.8,17.267310155319503,52,101,5,0.041107854102374206,0.01402186016908389,0.02347629796839729,0.06396453451551615,5,0.018200013558136597,0.004724298517356626,0.011289622231871473,0.025275275275275275,5,6752,0.3109188552643144,5257,0.23931192208377738,9877,0.44976922265190816,False,-0.010271388357064787,-0.051999625205171235,0.05199962520517143,-0.0018786272538454662,-0.006705241157501707,True,False,True,True,0.04362623538490723,False,,1,True,True
alto_0.35,regla_decision,5,0.7409569397036221,0.007098338657814274,0.7304287045666356,0.7509769865392966,5,0.7024963244922222,0.00955262227926698,0.6955155519101094,0.7214177715995063,5,0.7035437784335186,0.010780456488167545,0.6960134593790257,0.724963755533104,5,0.7024963244922222,0.00955262227926698,0.6955155519101094,0.7214177715995063,5,0.7025679119173595,0.00953656145483995,0.6957592708983095,0.7215037267411443,5,0.8696518117548827,0.0045983259147801695,0.8625938951213445,0.8762268519488648,5,0.8834422719775145,0.006338387150573261,0.8786453999583514,0.895360548460021,5,0.8164910148604877,0.02043759246946301,0.7815072830905636,0.837020316027088,5,0.8252391562582323,0.017602409150040903,0.8073878627968337,0.85635103926097,5,0.8207937510910537,0.018064243909873167,0.7951030927835052,0.8465753424657535,5,1994.4,235.59762307799286,1579,2215,5,361.2,8.953211714239757,345,370,5,0.18350898513951244,0.020437592469463008,0.16297968397291196,0.21849271690943636,5,95.6,24.67873578609731,58,133,5,0.050193119084039284,0.019592272939439038,0.02618510158013544,0.08423052564914503,5,0.02214903050941669,0.006772499124852498,0.012592270950933565,0.03328328328328328,5,7030,0.32381885202551997,4979,0.22641192532257187,9877,0.44976922265190816,False,-0.0011861233753997086,-0.051999625205171235,0.05199962520517143,-0.0024041235506081504,-0.00742560675242343,True,False,True,True,0.04362623538490723,False,,4,False,True
